Feldname;Werteliste;Zugehörigkeit DIVI-MIND;Felder betreffen nur Baden-Württemberg;In FHIR umgesetzt?;Anmerkung zur Umsetzung
Protokolltyp;"NA
RD";DM;;x;"CompositionDeEmsMindR4: Composition.type mit ValueSet Mind-Protokolltyp-VS (required; NA=na, RD=rd). Abweichung: Composition.title ist hardcodiert 'MIND 7.1 Rettungsdienstdokumentation', erfolgt keine NA/RD-Differenzierung des Titels."
Standortkennung;"Amtlicher Gemeindeschlüssel des RM-Standortes
-1 = nicht dokumentiert 99999999 = nicht bekannt";DM;;x;"EncounterDeEmsMindR4: Encounter.identifier[standortkennung] mit NamingSystem mind-standortkennung; Invariante mind-standortkennung-format erzwingt ^[0-9]{8}$. Der MIND-Default -2 (unbekannt) ist damit nicht abbildbar."
EinsatzArt;"Einsatzart
01 = Notfallrettung - Primäreinsatz nur mit (physisch anwesendem) NA 02 = Notfallrettung - Primäreinsatz nur mit TNA
03 = Notfallrettung - Primäreinsatz mit (physisch anwesendem) NA und TNA 04 = Notfallrettung - Primäreinsatz ohne NA
05 = Notfallrettung - Verlegung nur mit (physisch anwesendem) NA 06 = Notfallrettung - Verlegung nur mit TNA
07 = Notfallrettung - Verlegung mit (physisch anwesendem) NA und TNA 08 = Notfallrettung - Verlegung ohne NA
09 = Intensivtransport
10 = Krankentransport
11 = Dienstfahrt
12 = Pause";DM;;x;"EncounterDeEmsMindR4: Encounter.type mit ValueSet Mind-Einsatzart-VS (required). Abweichung: Mind-Einsatzart-NA-VS/RD-VS sind definiert, aber nicht gebunden; die NA-/RD-Plausibilität (NA erkennbar -> keine Einsatzart 04/08/10) wird nicht erzwungen."
Gemeindeschlüssel;"Amtlicher Gemeindeschlüssel des Einsatzortes
-1 = nicht dokumentiert
99999998 = Einsatzort im Ausland 99999999 = nicht bekannt";DM;;x;LocationDeEmsMindR4: address.city.extension[ags] (ExtensionDestatisAgs) mit Invariante mind-ags-format ^[0-9]{8}$. Die MIND-Sonderwerte -1 und 99999999 sind nicht darstellbar.
Postleitzahl;"Postleitzahl des Einsatzortes
-1 = nicht dokumentiert 99999 = nicht bekannt";DM;;x;"LocationDeEmsMindR4: address.postalCode. Abweichung: MIND-Sonderwerte -1, 99999999, 99999998 sind mit einer PLZ nicht modellierbar; Mapping-Regel fehlt."
EinsatzortTyp;"Beschreibung des Einsatzortes
-1 = nicht dokumentiert 01 = Wohnung
02 = Pflegeeinrichtung
03 = Arbeitsplatz
04 = Arztpraxis
05 = Straße
06 = öffentlicher Raum 07 = Krankenhaus
08 = Massenveranstaltung
09 = Bildungseinrichtung
10 = Sportstätte
11 = Geburtshaus/-einrichtung
12 = unwegsames Gelände 98 = Sonstige";DM;;x;LocationDeEmsMindR4: extension[einsatzorttyp] (MindEinsatzortTyp, valueCodeableConcept) mit ValueSet Mind-Einsatzort-Typ-VS.
RDTransport;"Rettungsdienstlicher Transport
01 = kein Patiententransport, trotz Patientenkontakt  02 = kein Patiententransport, da kein Patientenkontakt 03 = Transport durch RTW
04 = Transport durch NAW
05 = Transport durch RTH / ITH 06 = Transport durch KTW
07 = Transport durch N-KTW 08 = Transport durch S-RTW 09 = Transport durch ITW
98 = Transport durch sonstige Rettungsmittel";DM;;x;ObservationDeEmsMindRdTransport: code mind-observationstyp-cs#rd-transport, valueCodeableConcept an MindRdTransportVS gebunden.
AerztlBegleit;"Ärztliche Transportbegleitung 00 = keine
01 = Begleitung durch NA bodengebunden 02 = Begleitung durch NA RTH
03 = Begleitung durch Telenotarzt
04 = Begleitung durch Krankenhaus-Arzt
05 = Begleitung durch niedergelassenen Arzt 98 = Begleitung durch sonstigen Arzt";DM;;x;ObservationDeEmsMindAerztlicheBegleitung: code #aerztliche-begleitung, ValueSet MindAerztlicheBegleitungVS.
NotarztNachgefordert;"Physisch anwesender Notarzt wurde nachgefordert
01 = Ja
02 = Nein";DM;;x;ObservationDeEmsMindNotarztNachgefordert: code #notarzt-nachgefordert, valueBoolean. Abweichung: MIND 'unbekannt' wird wie 'nein' (false) übermittelt, eine echte Dreifachwertigkeit existiert nicht.
TNANachgefordert;"Tele-Notarzt wurde nachgefordert 01 = Ja
02 = Nein";DM;;x;"ObservationDeEmsMindTnaNachgefordert: code #tna-nachgefordert, valueBoolean. Abweichung: 'unbekannt' wie 'nein'; Plausibilität (TNANachgefordert=ja unzulässig bei TNA-Alarmierung via Einsatzart) wird nicht erzwungen."
